x_desired,y_desired,z_desired,x_actual,y_actual,z_actual
1.85279,7.43461,1.89087,1.5191,7.43832,1.80739
1.91699,7.42274,1.88696,1.58248,7.4263,1.80361
1.98119,7.41088,1.88305,1.65666,7.41246,1.80013
2.04538,7.39902,1.87914,1.72055,7.40072,1.79714
2.10958,7.38715,1.87522,1.78439,7.38913,1.79422
2.17378,7.37529,1.87131,1.84819,7.37701,1.79149
2.23797,7.36342,1.8674,1.91189,7.36477,1.78888
2.30217,7.35156,1.86348,1.98591,7.35077,1.78541
2.36637,7.3397,1.85957,2.04916,7.33895,1.78215
2.43056,7.32783,1.85566,2.12271,7.32536,1.77817
2.49476,7.31597,1.85175,2.18561,7.31384,1.77486
2.55896,7.3041,1.84783,2.24823,7.30248,1.77157
2.62315,7.29224,1.84392,2.31048,7.29127,1.76849
2.68735,7.28038,1.84001,2.38231,7.27728,1.76469
2.75155,7.26851,1.8361,2.43319,7.26694,1.76164
2.81574,7.25665,1.83218,2.50418,7.2528,1.75737
2.87994,7.24478,1.82827,2.56518,7.2409,1.75385
2.94414,7.23292,1.82436,2.63665,7.22724,1.75012
3.00833,7.22105,1.82045,2.69815,7.21574,1.74727
3.07253,7.20919,1.81653,2.75987,7.20442,1.74473
3.13673,7.19733,1.81262,2.82175,7.19331,1.74205
3.20092,7.18546,1.80871,2.89258,7.17944,1.7388
3.26512,7.1736,1.8048,2.95257,7.16716,1.73556
3.32932,7.16173,1.80088,3.01277,7.15519,1.73193
3.39351,7.14987,1.79697,3.07325,7.14347,1.72817
3.45771,7.13801,1.79306,3.13412,7.13193,1.72445
3.52191,7.12614,1.78914,3.20561,7.11872,1.71977
